Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
27,2873.4256284103008,1220.5361587818982,1652.8894696284026,642727.5108270897,3.1,Variable (Recalc Payment)
28,2873.4256284103008,1223.6690378605663,1649.7565905497345,641503.8417892291,3.1,Variable (Recalc Payment)
29,2873.4256284103008,1226.8099584308782,1646.6156699794226,640277.0318307983,3.1,Variable (Recalc Payment)
30,2873.425628410301,1229.95894113378,1643.4666872765213,639047.0728896644,3.1,Variable (Recalc Payment)
31,2873.4256284103017,1233.1160066631987,1640.309621747103,637813.9568830013,3.1,Variable (Recalc Payment)
32,2873.425628410301,1236.281175766178,1637.1444526441232,636577.6757072351,3.1,Variable (Recalc Payment)
33,2873.4256284103017,1239.4544692430177,1633.971159167284,635338.221237992,3.1,Variable (Recalc Payment)
34,2873.425628410301,1242.635907947405,1630.7897204628962,634095.5853300446,3.1,Variable (Recalc Payment)
35,2873.4256284103008,1245.8255127865564,1627.6001156237444,632849.7598172581,3.1,Variable (Recalc Payment)
36,2873.425628410301,1249.023304721353,1624.4023236889482,631600.7365125368,3.1,Variable (Recalc Payment)
1,3193.705239225549,974.9135466918497,2218.7916925336995,671025.0864533081,3.995,50/50 Split
2,3193.705239225549,978.1309478855676,2215.5742913399813,670046.9555054225,3.995,50/50 Split
3,3193.705239225549,981.3589743383845,2212.3462648871646,669065.5965310843,3.995,50/50 Split
4,3193.705239225549,984.5976611633628,2209.107578062186,668080.9988699208,3.995,50/50 Split
5,3193.705239225549,987.8470435896827,2205.858195635866,667093.1518263312,3.995,50/50 Split
6,3193.705239225549,1059.4748618022634,2134.2303774232855,666033.676964529,3.87,50/50 Split
7,3193.705239225549,1062.863611314341,2130.841627911208,664970.8133532146,3.87,50/50 Split
8,3193.705239225549,1066.2632000874346,2127.4420391381145,663904.5501531272,3.87,50/50 Split
9,3193.705239225549,1069.6736627929367,2124.0315764326124,662834.8764903343,3.87,50/50 Split
10,3193.705239225549,1073.0950342131455,2120.6102050124036,661761.781456121,3.87,50/50 Split
11,3193.705239225549,1076.527349241619,2117.17788998393,660685.2541068795,3.87,50/50 Split
12,3193.705239225549,1147.7196015330805,2045.9856376924683,659537.5345053463,3.745,50/50 Split
13,3193.705239225549,1151.25959044031,2042.445648785239,658386.2749149061,3.745,50/50 Split
14,3193.705239225549,1154.8105140459277,2038.8947251796212,657231.4644008602,3.745,50/50 Split
15,3193.705239225549,1158.3724061761031,2035.332833049446,656073.0919946842,3.745,50/50 Split
16,3193.705239225549,1161.945300761799,2031.75993846375,654911.1466939223,3.745,50/50 Split
17,3193.705239225549,1165.5292318390993,2028.1760073864493,653745.6174620832,3.745,50/50 Split
18,3193.705239225549,1236.1561805659212,1957.5490586596277,652509.4612815173,3.62,50/50 Split
19,3193.705239225549,1239.8156940221886,1953.8895452033603,651269.6455874951,3.62,50/50 Split
20,3193.705239225549,1243.4861004302302,1950.2191387953185,650026.1594870649,3.62,50/50 Split
21,3193.705239225549,1247.1674323928323,1946.5378068327166,648778.9920546721,3.62,50/50 Split
22,3193.705239225549,1250.8597226108968,1942.8455166146523,647528.1323320612,3.62,50/50 Split
23,3193.705239225549,1254.5630038837373,1939.1422353418116,646273.5693281775,3.62,50/50 Split
24,3193.705239225549,1324.4937755275632,1869.2114636979854,644949.0755526499,3.495,50/50 Split
25,3193.705239225549,1328.2403041941018,1865.464935031447,643620.8352484559,3.495,50/50 Split
26,3193.705239225549,1331.9975647115969,1861.707674513952,642288.8376837443,3.495,50/50 Split
27,3193.705239225549,1335.7655882129056,1857.9396510126435,640953.0720955313,3.495,50/50 Split
28,3193.705239225549,1339.5444059223291,1854.16083330322,639613.527689609,3.495,50/50 Split
29,3193.705239225549,1343.3340491558854,1850.3711900696635,638270.193640453,3.495,50/50 Split
30,3193.705239225549,1347.1345493215808,1846.5706899039678,636923.0590911314,3.495,50/50 Split
31,3193.705239225549,1350.9459379196849,1842.759301305864,635572.1131532118,3.495,50/50 Split
32,3193.705239225549,1354.768246543002,1838.9369926825468,634217.3449066689,3.495,50/50 Split
33,3193.705239225549,1358.6015068771503,1835.1037323483988,632858.7433997917,3.495,50/50 Split
34,3193.705239225549,1362.4457507008333,1831.2594885247156,631496.2976490909,3.495,50/50 Split
35,3193.705239225549,1366.3010098861205,1827.4042293394286,630129.9966392047,3.495,50/50 Split
36,3193.705239225549,1370.1673163987223,1823.5379228268266,628759.8293228059,3.495,50/50 Split
